Codename,Virtual,Friday afternoon,Friday evening,Friday morning,Monday afternoon,Monday evening,Monday morning,Saturday afternoon,Saturday evening,Saturday morning,Sunday afternoon,Sunday evening,Sunday morning,Thursday afternoon,Thursday evening,Thursday morning,Tuesday afternoon,Tuesday evening,Tuesday morning,Wednesday afternoon,Wednesday evening,Wednesday morning
0,0,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
2,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
3,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
4,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
5,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0
6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1
8,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0
9,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0,1
10,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
11,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
12,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1
13,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
14,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
15,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
17,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
19,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1
20,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
21,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0
22,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0
23,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
24,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
25,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
26,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
28,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
32,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
33,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0
34,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
35,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
37,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0